message,created_time,id,likes.data,likes.paging.cursors.before,likes.paging.cursors.after,likes.summary.total_count,likes.summary.can_like,likes.summary.has_liked,comments.data,comments.summary.order,comments.summary.total_count,comments.summary.can_comment,likes.paging.next,comments.paging.cursors.before,comments.paging.cursors.after,shares.count
"🎉 November Art Sale Alert! 🎉

Snag your favorites from the Jean Pierre Weill collection at up to 35% off! Minis, Petites, and Gallery Editions – all discounted for a limited time. ✨

Mini: 10% off
Petite: 25% off
Gallery Editions: 35% off

📅 Sale runs Nov 1 - 30
🌍 International shipping available!

Shop the art you’ve been dreaming of at jeanpierreweill.com 💫",2024-11-03T21:12:14+0000,124319427612935_1111928650936172,[],QVFIUmp6ZAlZADTVpoMVJEeHp2YXFack45cUY3emEwSUk1c3R3b3ZAUd0o0aWpVT282VUI4bnBUQWlBdG5mR29nRDJ0YkwZD,QVFIUjVXbjc1c1pwdzlMTmpqcWdwbGp0RnFZASUQ4OWlYWTc1TnpZANTQ3QndNMkp3RHRHSVkxT3N5SVBJQjlaekZAlVkRySVhyNjAwYmlCazdwT2ZAXNDdxNnVR,4,True,False,[],chronological,0,True,,,,
You are in our hearts.,2024-10-07T20:35:31+0000,124319427612935_1089125369883167,[],QVFIUl8tVlMzeW1oTWpPRHI2REZAyeGE2SzhwSTF6VkMzczFMcUZAXYkphTW1DOU5RVXEteS14Q2MybzF2NXNwamFuUGUZD,QVFIUmV2aHJFRDNNWkg5THdEcXJkM0tWSk9IanlEdE8zSHlnQm94ZAkdFb1dFbHY5Y0d5S0ZAwdTdOejFCY2Uxc2h2dGsZD,41,True,False,"[{'created_time': '2024-10-08T01:39:40+0000', 'message': 'What happened?? Context please', 'id': '1089125369883167_550495354120227'}, {'created_time': '2024-10-07T21:06:56+0000', 'message': 'We remember 😔😔😔', 'id': '1089125369883167_1525790584741086'}, {'created_time': '2024-10-07T22:25:56+0000', 'message': '🙏🙏🙏', 'id': '1089125369883167_554550223769712'}]",ranked,3,True,https://graph.facebook.com/v21.0/124319427612935_1089125369883167/likes?access_token=EAAFwrJWP4CIBOzFp2qlM0f2YADANbOCBPbEWxDlfxs9ZA85E1L8faNh5LcZCzxPExrkkukbq41ZBx67qXSrolIAbphbwCqgJfmuXDADit7UIhZCqxDdQhciw9dflZBuFBscZA8Rb85uBfULaZAsMibXFSzDFqyTLDsEoJ7zUM8yzGVat0QtiEMbYjfi4dXfb8gTo9ipL3NZC0glGS6gZD&summary=true&limit=25&after=QVFIUmV2aHJFRDNNWkg5THdEcXJkM0tWSk9IanlEdE8zSHlnQm94ZAkdFb1dFbHY5Y0d5S0ZAwdTdOejFCY2Uxc2h2dGsZD,MwZDZD,MQZDZD,2.0
"✨ We just finished this stunning piece!✨

Do you want to know more about the inspiration behind it? 

Drop your questions in the comments below, and stay tuned for an exclusive reel showcasing the creative process! 🎨💬",2024-09-30T23:24:18+0000,124319427612935_1083224957139875,[],QVFIUkxYdnd6LXN3SjBsNXU2Y0hLYTQyTHA2ZA1VNTV9JX3phV1AwWmd4bmRJdnhNVXdtM3UwbFpyYWhCdndJU1VrWTZABQUJaY1V1TGN0VHhVQ0hweG93ZA2Vn,QVFIUlRNRnFPTjhKbGRrbnIwQnE2cUVoMWdiNk9rSFBtakQtSTZAZAaEI3bmpJQXgtNEJuVGJPTWNRSXBVUjhHLThtejhOemlKck02NkdUaUxZAamZACaTNGSjhn,40,True,False,"[{'created_time': '2024-09-30T23:49:28+0000', 'message': 'I would love an explanation since I have one very similar to it.', 'id': '1083224957139875_1681061512684049'}, {'created_time': '2024-10-01T01:49:32+0000', 'message': 'Beautiful!!!', 'id': '1083224957139875_1333339034549980'}, {'created_time': '2024-10-01T01:47:29+0000', 'message': 'Beautiful 😍', 'id': '1083224957139875_527368976918866'}, {'created_time': '2024-10-01T06:25:42+0000', 'message': 'נהדר', 'id': '1083224957139875_923379739839003'}, {'created_time': '2024-10-01T02:51:05+0000', 'message': '❤️', 'id': '1083224957139875_973320701229046'}, {'created_time': '2024-10-02T22:12:15+0000', 'message': 'Lovely...', 'id': '1083224957139875_3901488693441852'}, {'created_time': '2024-10-01T12:50:58+0000', 'message': 'Magnificent!!!!!', 'id': '1083224957139875_549652824352691'}]",ranked,7,True,https://graph.facebook.com/v21.0/124319427612935_1083224957139875/likes?access_token=EAAFwrJWP4CIBOzFp2qlM0f2YADANbOCBPbEWxDlfxs9ZA85E1L8faNh5LcZCzxPExrkkukbq41ZBx67qXSrolIAbphbwCqgJfmuXDADit7UIhZCqxDdQhciw9dflZBuFBscZA8Rb85uBfULaZAsMibXFSzDFqyTLDsEoJ7zUM8yzGVat0QtiEMbYjfi4dXfb8gTo9ipL3NZC0glGS6gZD&summary=true&limit=25&after=QVFIUlRNRnFPTjhKbGRrbnIwQnE2cUVoMWdiNk9rSFBtakQtSTZAZAaEI3bmpJQXgtNEJuVGJPTWNRSXBVUjhHLThtejhOemlKck02NkdUaUxZAamZACaTNGSjhn,NwZDZD,MQZDZD,2.0
"✨ This one is for the book lovers 📚✨
Tag a friend who would adore these pieces!",2024-07-15T18:10:57+0000,124319427612935_1025065006289204,[],QVFIUnhxaTRhVVBHeUJ5RldFTnk4UlVNQXEtR2VCMDVLX1ZAtNmFlMldLYVA3b29adXVoc0ZAEMlQ5XzVjQ0tmd3ZAOaEcZD,QVFIUlhlcnJkNHh3d3ZAtZAUNBanRHMDRzRExnSU85V3hwdmFuVEgwVmw3UVhLV0ZAZAZA3NtanlXZAENHVXF2RVFHS0FZAcWRNOGJhODZALTlotQWUyZAENkRUxwbkt3,9,True,False,"[{'created_time': '2024-07-16T22:43:54+0000', 'message': 'Beautiful', 'id': '1025065006289204_1152508959299053'}]",ranked,2,True,,MgZDZD,MgZDZD,3.0
"Your words mean the world to us! 🌟 Swipe to see some of the incredible testimonials from our amazing community. We appreciate each and every message. 

Share your thoughts and comments below—we’d love to hear from you! 🎨💬",2024-06-06T14:09:08+0000,124319427612935_997016089094096,[],QVFIUnNwc3pROTdYSWI1RnBQMkNaaWtGQ2lZAX0xIZA2c1RmlQZATNKTXpWXzdzVmFCOWlmMWR3T3ZARU1Y4OU9ib3o4eGcZD,QVFIUktLVHQ3SWpWQ1JNTlZAFNVBEdFR1S0NwMGR2TlVYYkpoVHAyUUw2QVN1RGduLVJXQUs0OWx5d2NKM0tibzNCTDRPd05uRTktVzIwMndEN3MzdnRtV3dn,6,True,False,"[{'created_time': '2024-06-06T19:41:52+0000', 'message': 'Love this so much ❤️ 💗 💖', 'id': '997016089094096_8166004580097079'}]",ranked,2,True,,MgZDZD,MgZDZD,
"From students to art enthusiasts, all are welcome at the Jean Pierre Weill Paintings studio! 🎨✨ 

Whether you’re a group or solo explorer, just drop us a DM to schedule your visit. We can’t wait to share our passion of art with you!",2024-05-02T18:30:04+0000,124319427612935_972019261593779,[],QVFIUkFFbWJIdW9SdXJxNU5SQXhzM3AyUUhoN20ySi1xT0lxR0NWaG5FeVdRS0x6MERWZAWRvSW9Xc09rN2JXc2owUVcZD,QVFIUjFoTW91WE1lclRjUHJIOFlidlQ2Vi1mV0JmblMxeDNOeTdETmt0dWV2ZAFBQS0RPYTlYRFpfRExNRDFib0VXaVduV195aklnaHFIVGdOYzJZAbXZAaMFd3,16,True,False,"[{'created_time': '2024-05-03T02:27:48+0000', 'message': 'Your art is magnificent!', 'id': '972019261593779_7486414348140547'}]",ranked,1,True,,MQZDZD,MQZDZD,
"From Exodus to Renewal: Passover Reflections 🌊 As we recall the splitting of the Sea, let’s remember the courage it takes to embrace new beginnings. 

Passover isn’t just a historical event; it’s a celebration of birth and rebirth. This Passover, let’s honor the journey of our ancestors and the courage it takes to step into the unknown.",2024-04-26T21:13:57+0000,124319427612935_967774828684889,[],QVFIUjhnamN1Wlk5X01HYVBlMkNZAeXBIUHY5WjFTTENHVHhkMnFPbWo3eDZA0VUNkSXQxZA3poSW45UkVCZADhPc1psNExBTEt6UllCNVpvY1JsMTVXN1Y4UjJR,QVFIUkRpOWcycmVwV3VEekYtbEd4amdQQWRKYS1BdHlJdGxBN2t0QlUyRmt6dzFLY1FOZAnpienhvSmNTX01mYUVFV21ZAREc2NE5xZAWk3eHJqaUFmQjZAWbXlB,14,True,False,"[{'created_time': '2024-04-27T01:28:33+0000', 'message': '', 'id': '967774828684889_3723307331239354'}]",ranked,1,True,,MQZDZD,MQZDZD,
"Let your imagination take flight with ‘Balloon Over Paris’ 🎈✨ where rooftops become runways and hot air balloons paint the sky. 

 Explore more at jeanpierreweill.com and let your dreams soar.",2024-04-17T19:18:26+0000,124319427612935_961444889317883,[],QVFIUk8yOHEzOWhBcGl5bFZACQV9NSXlJRFZAKWWh6Wk5UbUxMdFRnUU4yclR4RGhKZAU9yWkFwcnctcmdPRDBlc2NUNUgZD,QVFIUktYVnVraWtpT3RBXzU0bWhtYXFuZAk9ESGVyNVl6OElXU3otRXFGek9vR281YmJuRDU1SUFabDhWUnNHVkM4MWpPektOeDNqekF1NnRoNm5WRXpieVNR,15,True,False,"[{'created_time': '2024-04-17T19:21:13+0000', 'message': 'One day I’ll own a place, once I do I want one of your paintings!', 'id': '961444889317883_396364093200880'}, {'created_time': '2024-04-18T08:13:46+0000', 'message': 'W♥️W 😍', 'id': '961444889317883_947387253549392'}]",ranked,2,True,,MgZDZD,MQZDZD,3.0
"🎨 Take a moment to pause and immerse yourself in the enchanting world of ‘Dancing Cranes’ by Jean Pierre Weill Paintings. 🌿

🌙 Let the quiet stillness of morning wash over you as five cranes gracefully lift their heads into gentle rays of light. 🕊️

💫 With a crescent of blue moon overhead and the strong yet supple bamboo standing tall, this painting invites you to embrace both movement and stillness. 💖✨

Visit our website jeanpierreweill.com",2024-04-02T19:55:40+0000,124319427612935_950429930419379,[],QVFIUm40RGdVNkZAUSThSQ0VWLTIyQUtyZAkNxdTl2dFpCTllkZAlV3RHdHWDFwd1VBSGdaN0I2VlhhTWpvWlZAUT1ZADeWI2N20ybnlmRkFFZAWhXLXgwQ3NwOWdR,QVFIUlhLdkl4VXVDbTJsVlVxNVBUbGd4M2xDN1BQd0dpTEhLY3JIVmRHc3dUa05rYVAwRTNzUmlVWXRIMHJXZA1BHaE4ZD,11,True,False,[],chronological,0,True,,,,
"Did you know... 👀 

Our father, Jean-Pierre, ignited our beloved studio’s journey in 1992, fueled by a profound blend of artistry and family devotion. From the inception of our mesmerizing 3D paintings to our relocation to Israel about a decade ago, every stroke of light and shadow has been a testament to our shared passion.

As his daughters, Davida and Safira, we’ve infused our vibrant palette with fresh perspectives and boundless creativity, enriching our artistic legacy.

Our bond as a family studio isn’t just the foundation of our art—it’s the heartbeat that sustains it. ✨

Share this with your father, as a heartfelt reminder of the love and inspiration he brings to your life.  💖",2024-03-27T17:49:41+0000,124319427612935_945797347549304,[],QVFIUlM4RDRqOUpsYjdUTVFSbnhwSnZARRGdDamxCRFhoZAFVXeTlCSHFLeWtOZAnZA0akFoRVRIUGhHYTlXZAVJuZAjJVLVpXckY5R0FnTDROaUdqTThkZAGlpcHRR,QVFIUnRRS2JhamptUFdFeHpZAdVI0ZAVVQamJuaE1VTFZAJbkJCcTFEbFNDWkdoU1BpVjlGTDVJckV1QW8yRUktdHF0dXhuTGd3blJ5SUdRcU1uSkREalhZAVXVn,21,True,False,"[{'created_time': '2024-03-27T18:28:43+0000', 'message': 'Will you be having a showing in Chicago possibly? I’d love to attend. I’d also love to buy one of your pieces as a gift for a relative of mine as long as there is an array of 3D paintings of various prices to choose from!', 'id': '945797347549304_1135248357823344'}]",ranked,1,True,,MQZDZD,MQZDZD,1.0
