id,message,created_time,likes_count,comments_count,shares_count
124319427612935_1111928650936172,"🎉 November Art Sale Alert! 🎉

Snag your favorites from the Jean Pierre Weill collection at up to 35% off! Minis, Petites, and Gallery Editions – all discounted for a limited time. ✨

Mini: 10% off
Petite: 25% off
Gallery Editions: 35% off

📅 Sale runs Nov 1 - 30
🌍 International shipping available!

Shop the art you’ve been dreaming of at jeanpierreweill.com 💫",2024-11-03T21:12:14+0000,4,0,0
124319427612935_1089125369883167,You are in our hearts.,2024-10-07T20:35:31+0000,41,3,2
124319427612935_1083224957139875,"✨ We just finished this stunning piece!✨

Do you want to know more about the inspiration behind it? 

Drop your questions in the comments below, and stay tuned for an exclusive reel showcasing the creative process! 🎨💬",2024-09-30T23:24:18+0000,40,7,2
124319427612935_1025065006289204,"✨ This one is for the book lovers 📚✨
Tag a friend who would adore these pieces!",2024-07-15T18:10:57+0000,9,2,3
124319427612935_997016089094096,"Your words mean the world to us! 🌟 Swipe to see some of the incredible testimonials from our amazing community. We appreciate each and every message. 

Share your thoughts and comments below—we’d love to hear from you! 🎨💬",2024-06-06T14:09:08+0000,6,2,0
124319427612935_972019261593779,"From students to art enthusiasts, all are welcome at the Jean Pierre Weill Paintings studio! 🎨✨ 

Whether you’re a group or solo explorer, just drop us a DM to schedule your visit. We can’t wait to share our passion of art with you!",2024-05-02T18:30:04+0000,16,1,0
124319427612935_967774828684889,"From Exodus to Renewal: Passover Reflections 🌊 As we recall the splitting of the Sea, let’s remember the courage it takes to embrace new beginnings. 

Passover isn’t just a historical event; it’s a celebration of birth and rebirth. This Passover, let’s honor the journey of our ancestors and the courage it takes to step into the unknown.",2024-04-26T21:13:57+0000,14,1,0
124319427612935_961444889317883,"Let your imagination take flight with ‘Balloon Over Paris’ 🎈✨ where rooftops become runways and hot air balloons paint the sky. 

 Explore more at jeanpierreweill.com and let your dreams soar.",2024-04-17T19:18:26+0000,15,2,3
124319427612935_950429930419379,"🎨 Take a moment to pause and immerse yourself in the enchanting world of ‘Dancing Cranes’ by Jean Pierre Weill Paintings. 🌿

🌙 Let the quiet stillness of morning wash over you as five cranes gracefully lift their heads into gentle rays of light. 🕊️

💫 With a crescent of blue moon overhead and the strong yet supple bamboo standing tall, this painting invites you to embrace both movement and stillness. 💖✨

Visit our website jeanpierreweill.com",2024-04-02T19:55:40+0000,11,0,0
124319427612935_945797347549304,"Did you know... 👀 

Our father, Jean-Pierre, ignited our beloved studio’s journey in 1992, fueled by a profound blend of artistry and family devotion. From the inception of our mesmerizing 3D paintings to our relocation to Israel about a decade ago, every stroke of light and shadow has been a testament to our shared passion.

As his daughters, Davida and Safira, we’ve infused our vibrant palette with fresh perspectives and boundless creativity, enriching our artistic legacy.

Our bond as a family studio isn’t just the foundation of our art—it’s the heartbeat that sustains it. ✨

Share this with your father, as a heartfelt reminder of the love and inspiration he brings to your life.  💖",2024-03-27T17:49:41+0000,21,1,1
124319427612935_941451157983923,"For Adar >>> When you purchase artwork from our family studio this month, we will gift a 3D painting on glass to a family who has been evacuated from their home for free. 💝 

How does it work?
1. You purchase the artwork you love.
2. At checkout, write us a note that says: TRANSFORM. 
3. If you wish, add some words for the family who will receive our gift.
4. We will send you the work you purchased. We will also send a 3D painting on glass to a family who has been evacuated from their home. 

Let’s channel this months energy and transform lives together. ⚡️💗

Get started on www.jeanpierreweill.com",2024-03-21T20:55:19+0000,3,0,1
