id,name,objective,buying_type,status,start_time,daily_budget,bid_strategy,special_ad_categories
23849302854210177,BP - TOF - Catalog - Acquistion - Cost Cap - Copy,PRODUCT_CATALOG_SALES,AUCTION,PAUSED,2021-10-26T08:33:27-0400,5500,LOWEST_COST_WITH_BID_CAP,[]
23849302775960177,BP - TOF - Catalog - CBO 45+,PRODUCT_CATALOG_SALES,AUCTION,PAUSED,2021-10-26T08:08:25-0400,7000,LOWEST_COST_WITHOUT_CAP,[]
23849282436190177,BP - TOF - Catalog - ABO 24.10,PRODUCT_CATALOG_SALES,AUCTION,PAUSED,2021-10-24T03:19:58-0400,,,[]
23849282390860177,BP - TOF - Best preform ID + Collection 24.10,CONVERSIONS,AUCTION,PAUSED,2021-10-24T03:02:24-0400,3000,LOWEST_COST_WITHOUT_CAP,[]
23849252555870177,BP - TOF - Creative Testing - IMGS - 20.10 - 1DC,CONVERSIONS,AUCTION,PAUSED,2021-10-20T03:43:58-0400,1500,LOWEST_COST_WITHOUT_CAP,[]
23849229847770177,BP - TOF - Post ID,CONVERSIONS,AUCTION,PAUSED,2021-10-18T03:05:12-0400,5000,LOWEST_COST_WITHOUT_CAP,[]
23849184290380177,BP - TOF - Catalog Collection,PRODUCT_CATALOG_SALES,AUCTION,PAUSED,2021-10-12T08:00:44-0400,2500,LOWEST_COST_WITHOUT_CAP,[]
23849173475870177,BP - TOF - Creative Testing Teste -  11.10 - DCT - CBO,CONVERSIONS,AUCTION,PAUSED,2021-10-11T04:31:46-0400,3500,LOWEST_COST_WITHOUT_CAP,[]
23849138910870177,BP - MOF+BOF - Creative Testing Teste Short -  06.10 - DCT,CONVERSIONS,AUCTION,PAUSED,2021-10-06T11:14:32-0400,3500,LOWEST_COST_WITHOUT_CAP,[]
23849126977870177,BP - TOF - CBO - Past Winners - CBO - 5.10,CONVERSIONS,AUCTION,PAUSED,2021-10-05T04:12:23-0400,1500,LOWEST_COST_WITHOUT_CAP,[]
23849121737310177,BP - TOF - Creative Testing - IMGS - 04.10,CONVERSIONS,AUCTION,PAUSED,2021-10-04T06:09:44-0400,8500,LOWEST_COST_WITHOUT_CAP,[]
23849121548390177,BP - MOF+BOF - Creative Testing Teste -  04.10 - DCT - CBO 4.10,CONVERSIONS,AUCTION,PAUSED,2021-10-04T05:50:26-0400,3500,LOWEST_COST_WITHOUT_CAP,[]
